,s_r_x,shoulder_right,s_r_z,e_r_x,elbow_right,e_r_z,w_r_x,wrist_right,w_r_z,h_r_x,hand_right,h_r_z,ht_x,handtip_right,ht_z,t_r_x,thumb_right,t_r_z
frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
46,33.5005,-17.4904,1567.08,-194.886,129.491,1477.27,-394.486,227.628,1390.85,-482.397,216.291,1447.76,-576.508,228.348,1499.15,-544.073,233.253,1402.17
47,35.4698,-18.7412,1566.4,-189.669,130.557,1474.94,-385.789,244.318,1402.87,-478.083,239,1452.69,-573.371,256.394,1499.51,-534.13,264.189,1404.14
48,37.4909,-19.8204,1566.98,-183.495,136.595,1478.33,-374.629,261.699,1412.84,-467.046,258.797,1462.39,-562.322,272.565,1510.14,-524.044,258.478,1408.81
49,38.8797,-19.0747,1565.47,-183.199,139.203,1483.67,-375.948,263.625,1422.27,-470.477,264.206,1467.6,-563.863,278.426,1518.69,-524.935,259.696,1411.69
50,38.9078,-19.0373,1565.59,-183.223,139.234,1483.95,-376.03,263.671,1422.78,-470.466,264.261,1468.3,-563.688,278.451,1519.69,-525.034,259.738,1412.5
51,42.4977,-15.3324,1565.46,-181.711,144.9,1488.55,-378.637,269.575,1437.21,-476.011,266.675,1477.33,-566.2,276.11,1535.84,-526.294,248.73,1419.7
52,42.5357,-15.5442,1565.64,-182.799,145.539,1490.74,-378.901,273.031,1439.95,-475.303,265.287,1482.5,-566.893,271.585,1539.83,-525.327,240.397,1426.95
53,43.0376,-16.1057,1564.81,-182.989,145.725,1492.3,-380.849,273.183,1447.21,-478.057,266.023,1488.31,-571.37,272.859,1542.99,-527.537,241.969,1431.78
54,43.8617,-15.5066,1564.19,-183.364,145.047,1492.61,-381.912,272.999,1452.2,-478.343,267.236,1495.3,-571.185,275.487,1550.58,-529.339,244.003,1439.79
55,45.6831,-16.0357,1563.18,-182.753,143.043,1495.4,-381.109,271.183,1458.67,-478.926,266.718,1497.93,-573.614,276.21,1549.15,-527.916,244.192,1440.65
56,45.8821,-17.479,1563.69,-182.683,141.121,1495.77,-382.514,267.019,1459.99,-479.786,265.792,1500.69,-576.612,279.097,1546.69,-530.086,243.076,1444.68
57,46.6053,-18.457,1563.86,-183.15,138.493,1496.95,-383.636,263.556,1463.04,-480.355,262.899,1504.86,-577.111,276.804,1550.66,-531.513,241.249,1449.29
58,46.7431,-18.7634,1564.43,-183.603,137.595,1498.05,-384.767,261.786,1464.79,-480.954,260.51,1507.83,-580.01,274.15,1548.54,-532.62,238.133,1453.01
59,46.7738,-18.8758,1564.43,-183.747,137.408,1498.36,-385.102,261.443,1465.51,-481.088,260.024,1509.03,-580.043,273.521,1550.05,-532.981,237.504,1454.47
60,46.6261,-18.9919,1565.08,-184.284,137.151,1500.06,-386.024,260.928,1468.65,-481.464,259.065,1513.33,-581.174,272.217,1552.6,-533.892,236.166,1459.44
61,46.5703,-19.0623,1565.49,-184.545,136.948,1500.9,-386.469,260.585,1470.17,-481.503,258.651,1515.7,-581.488,271.758,1554.27,-534.356,235.482,1462.35
62,46.3396,-19.6337,1563.13,-186.335,135.041,1502.35,-387.74,258.802,1470.64,-481.383,258.134,1518.76,-580.589,272.099,1558.71,-535.374,232.103,1468.06
63,46.3362,-19.6293,1563.2,-186.362,135.019,1502.46,-387.792,258.75,1470.8,-481.406,258.041,1518.98,-580.797,271.951,1558.48,-535.412,231.972,1468.31
64,46.3325,-19.6308,1563.25,-186.384,134.999,1502.54,-387.833,258.706,1470.92,-481.433,257.97,1519.12,-580.854,271.851,1558.56,-535.445,231.881,1468.47
65,45.0226,-19.2076,1563.78,-187.525,134.453,1501.63,-388.511,259.22,1473.66,-481.495,256.486,1522.69,-579.153,268.202,1566.61,-535.091,228.03,1473.03
66,45.0712,-19.1922,1563.98,-187.622,134.334,1502.16,-388.751,258.873,1474.36,-481.67,255.609,1523.46,-581.589,266.509,1562.18,-535.138,226.839,1473.86
67,45.0326,-19.1078,1564.45,-187.642,134.294,1502.39,-388.764,258.691,1474.13,-481.915,255.228,1522.75,-583.449,265.695,1557.11,-535.051,226.301,1472.89
68,45.0178,-19.099,1564.43,-187.65,134.311,1502.37,-388.765,258.711,1474.09,-481.941,255.224,1522.67,-583.533,265.662,1556.86,-535.047,226.303,1472.77
69,43.2877,-19.2975,1563.27,-189.248,133.946,1503.02,-388.889,259.553,1473.76,-483.227,257.718,1519.64,-585.115,267.916,1552.29,-533.001,219.689,1472.76
70,43.1957,-19.2956,1563.25,-189.391,133.991,1503.24,-389.078,259.616,1474.27,-483.263,257.807,1520.48,-585.474,267.758,1552.2,-533.199,219.747,1473.8
71,43.0184,-19.3144,1563.28,-189.662,133.908,1503.48,-389.503,259.299,1474.58,-483.789,256.83,1520.54,-587.345,265.27,1548.07,-533.38,218.569,1473.66
72,42.9924,-19.3209,1563.29,-189.714,133.898,1503.57,-389.583,259.272,1474.76,-483.827,256.777,1520.81,-587.424,265.142,1548.21,-533.449,218.496,1473.98
73,39.1501,-19.4698,1562.39,-194.559,132.15,1505.29,-396.021,254.292,1477.66,-488.116,243.833,1526.38,-591.946,244.525,1553.31,-537.578,207.049,1478.45
74,38.2461,-19.2646,1561.86,-196.097,132.044,1507.58,-397.882,253.766,1481.93,-489.599,242.023,1530.91,-595.84,240.396,1545.08,-539.305,206.443,1482.42
75,38.2201,-19.2866,1561.86,-196.168,131.997,1507.68,-398,253.676,1482.15,-489.657,241.915,1531.25,-595.934,240.212,1545.16,-539.411,206.307,1482.82
76,35.6127,-20.6293,1560.08,-202.835,126.076,1512.1,-408.856,239.644,1483.86,-493.379,212.356,1539.09,-577.31,216.579,1472.63,-548.225,187.094,1489.73
77,35.8346,-22.0175,1558.56,-203.559,122.371,1516.02,-412.344,226.772,1482.1,-495.643,203.701,1540.16,-569.088,218.003,1464.14,-554.029,183.982,1492.93
78,34.674,-22.6761,1558.23,-208.99,114.679,1516.27,-427.789,195.534,1480.87,-514.108,172.42,1534.36,-575.957,211.947,1456.93,-573.947,169.977,1484.92
79,32.1084,-23.5533,1557.49,-215.626,107.709,1518.62,-438.286,176.036,1479.93,-526.984,157.812,1531.54,-630.835,165.748,1555.01,-584.939,152.456,1480.03
80,31.0547,-26.0344,1557.26,-219.664,102.918,1524.01,-444.17,161.985,1477.25,-534.985,137.969,1523.11,-630.868,129.373,1570.02,-590.074,133.26,1468.17
81,30.5793,-25.811,1556.33,-221.683,102.515,1528.47,-446.251,162.354,1480.87,-540.082,126.94,1511,-643.544,111.613,1534.85,-588.309,128.935,1449.62
82,28.5183,-25.4512,1557.82,-228.397,100.286,1534.13,-458.598,127.316,1474.17,-529.825,62.6477,1517.92,-631.396,26.8344,1506.88,-577.082,35.243,1461.12
83,27.8117,-28.7872,1561.86,-238.395,85.1171,1537.26,-469.574,91.9597,1464.68,-551.441,32.1373,1498.87,-653.966,-6.63298,1499.85,-592.844,7.07636,1435.43
84,26.3325,-32.4093,1562.82,-243.763,72.3756,1539.7,-471.221,55.4773,1457.54,-533.69,-25.5736,1488.86,-629.227,-66.7349,1454.27,-574.595,-52.0352,1425.66
85,28.121,-34.2445,1563.87,-243.754,61.1403,1542.14,-461.827,20.9962,1447.68,-538.342,-50.4467,1466.68,-608.08,-111.362,1524.17,-562.679,-80.4543,1397.39
86,28.0515,-35.8943,1564.37,-248.215,43.0217,1543.77,-457.501,-13.3198,1440.04,-519.568,-96.4933,1461.96,-584.077,-165.497,1515.65,-529.411,-138.71,1395.8
87,25.9006,-36.7067,1565.63,-253.87,33.0493,1539.73,-450.115,-58.1903,1432.59,-499.877,-148.939,1458.12,-558.174,-216.876,1520.66,-489.875,-200.864,1398.77
88,28.2748,-27.4544,1569.79,-249.67,22.6865,1535.79,-433.123,-86.5987,1432.31,-481.194,-179.615,1429.27,-530.554,-254.119,1488.66,-471.507,-210.317,1358.11
